Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro;MotorTransAngle
33594000;-6.814622E+000;-4.767325E-001;-1.552740E+002;-1.554487E+002;-5.800781E+000
33607000;-4.478007E+000;-6.648378E-001;-1.552740E+002;-1.554535E+002;-5.668945E+000
33620000;-1.778977E+000;-4.261746E-001;-1.552740E+002;-1.554574E+002;-5.053711E+000
33633000;1.313674E+000;5.575466E-001;-1.552740E+002;-1.554262E+002;-3.691406E+000
33647000;4.251801E+000;1.625301E+000;-1.552740E+002;-1.553988E+002;-2.109375E+000
33661000;6.628475E+000;2.437790E+000;-1.552740E+002;-1.553779E+002;-3.955078E-001
33675000;8.583413E+000;3.999605E+000;-1.552740E+002;-1.553360E+002;1.494141E+000
33688000;9.680873E+000;5.445695E+000;-1.552740E+002;-1.552976E+002;3.032227E+000
33702000;9.985370E+000;7.517162E+000;-1.552740E+002;-1.552519E+002;4.438477E+000
33715000;9.429035E+000;9.301752E+000;-1.552740E+002;-1.552249E+002;5.493164E+000
33728000;8.109585E+000;1.039266E+001;-1.552740E+002;-1.551990E+002;6.020508E+000
33741000;6.133806E+000;1.100405E+001;-1.552740E+002;-1.551819E+002;6.020508E+000
33754000;3.661603E+000;1.106013E+001;-1.552740E+002;-1.551867E+002;5.493164E+000
33768000;6.741561E-001;1.063997E+001;-1.552740E+002;-1.551932E+002;4.702148E+000
33782000;-2.376500E+000;9.789416E+000;-1.552740E+002;-1.552093E+002;3.295898E+000
33796000;-5.204334E+000;9.126528E+000;-1.552740E+002;-1.552364E+002;1.625977E+000
33810000;-7.544207E+000;7.999464E+000;-1.552740E+002;-1.552689E+002;-3.955078E-001
33823000;-9.087276E+000;6.454618E+000;-1.552740E+002;-1.553043E+002;-2.153320E+000
33836000;-9.894891E+000;4.569379E+000;-1.552740E+002;-1.553505E+002;-3.515625E+000
33851000;-9.830731E+000;1.826771E+000;-1.552740E+002;-1.554083E+002;-4.877930E+000
33864000;-8.917001E+000;3.067735E-001;-1.552740E+002;-1.554390E+002;-5.581055E+000
33877000;-7.129350E+000;-4.465317E-001;-1.552740E+002;-1.554512E+002;-5.844727E+000
33890000;-4.866232E+000;-8.810594E-001;-1.552740E+002;-1.554545E+002;-5.756836E+000
33904000;-1.994609E+000;-7.142974E-001;-1.552740E+002;-1.554554E+002;-5.229492E+000
33917000;8.771929E-001;1.794558E-001;-1.552740E+002;-1.554245E+002;-3.955078E+000
33931000;3.850341E+000;1.159253E+000;-1.552740E+002;-1.553955E+002;-2.285156E+000
33945000;6.462479E+000;1.774375E+000;-1.552740E+002;-1.553649E+002;-7.470703E-001
33958000;8.349885E+000;3.179080E+000;-1.552740E+002;-1.553303E+002;1.230469E+000
33972000;9.623513E+000;4.619060E+000;-1.552740E+002;-1.552783E+002;2.724609E+000
33986000;9.994835E+000;6.706642E+000;-1.552740E+002;-1.552456E+002;4.262695E+000
34000000;9.429035E+000;8.444654E+000;-1.552740E+002;-1.552107E+002;5.449219E+000
34014000;8.109585E+000;9.949499E+000;-1.552740E+002;-1.551895E+002;5.888672E+000
34027000;6.133806E+000;1.040423E+001;-1.552740E+002;-1.551745E+002;6.020508E+000
34040000;3.456405E+000;1.044794E+001;-1.552740E+002;-1.551790E+002;5.712891E+000
34053000;6.741561E-001;1.019893E+001;-1.552740E+002;-1.551882E+002;4.482422E+000
34067000;-2.162655E+000;9.761719E+000;-1.552740E+002;-1.552010E+002;3.251953E+000
34080000;-5.015594E+000;9.367322E+000;-1.552740E+002;-1.552351E+002;1.845703E+000
34094000;-7.248764E+000;8.299029E+000;-1.552740E+002;-1.552590E+002;-8.789063E-002
34108000;-8.993443E+000;6.852297E+000;-1.552740E+002;-1.552919E+002;-1.977539E+000
34122000;-9.894891E+000;4.364242E+000;-1.552740E+002;-1.553503E+002;-3.515625E+000
34135000;-9.901688E+000;2.335293E+000;-1.552740E+002;-1.553939E+002;-4.702148E+000
34148000;-9.107115E+000;7.296776E-001;-1.552740E+002;-1.554356E+002;-5.493164E+000
34161000;-7.430330E+000;-2.952289E-001;-1.552740E+002;-1.554443E+002;-5.844727E+000
34175000;-5.056872E+000;-6.388558E-001;-1.552740E+002;-1.554467E+002;-5.756836E+000
34188000;-2.422883E+000;-5.642592E-001;-1.552740E+002;-1.554521E+002;-5.185547E+000
34202000;6.582649E-001;2.365960E-001;-1.552740E+002;-1.554325E+002;-4.174805E+000
34216000;3.646778E+000;1.302429E+000;-1.552740E+002;-1.553931E+002;-2.636719E+000
34230000;6.293366E+000;2.625125E+000;-1.552740E+002;-1.553693E+002;-7.910156E-001
34243000;8.100256E+000;3.620327E+000;-1.552740E+002;-1.553347E+002;1.010742E+000
34256000;9.494905E+000;5.021645E+000;-1.552740E+002;-1.552850E+002;2.680664E+000
34271000;9.999307E+000;7.052086E+000;-1.552740E+002;-1.552510E+002;4.306641E+000
34286000;9.499891E+000;9.387939E+000;-1.552740E+002;-1.552157E+002;5.449219E+000
34300000;8.109585E+000;1.046208E+001;-1.552740E+002;-1.551921E+002;6.020508E+000
34314000;5.958920E+000;1.106237E+001;-1.552740E+002;-1.551750E+002;5.888672E+000
34328000;3.249542E+000;1.114289E+001;-1.552740E+002;-1.551785E+002;5.625000E+000
34341000;4.549303E-001;1.109432E+001;-1.552740E+002;-1.551853E+002;4.570313E+000
34353000;-2.376500E+000;1.092098E+001;-1.552740E+002;-1.552088E+002;3.164063E+000
34367000;-5.204334E+000;1.045037E+001;-1.552740E+002;-1.552370E+002;1.625977E+000
34380000;-7.398269E+000;9.503004E+000;-1.552740E+002;-1.552794E+002;-1.757813E-001
34394000;-8.993443E+000;7.600559E+000;-1.552740E+002;-1.553152E+002;-1.933594E+000
34407000;-9.860755E+000;5.703627E+000;-1.552740E+002;-1.553571E+002;-3.295898E+000
34420000;-9.930012E+000;3.618380E+000;-1.552740E+002;-1.553992E+002;-4.614258E+000
34433000;-9.195609E+000;1.866999E+000;-1.552740E+002;-1.554436E+002;-5.361328E+000
34447000;-7.575482E+000;6.055520E-001;-1.552740E+002;-1.554520E+002;-5.844727E+000
34461000;-5.245073E+000;2.079687E-001;-1.552740E+002;-1.554559E+002;-5.712891E+000
34475000;-2.422883E+000;3.277764E-001;-1.552740E+002;-1.554581E+002;-5.229492E+000
34488000;6.582649E-001;9.276549E-001;-1.552740E+002;-1.554410E+002;-4.042969E+000
34502000;3.441456E+000;2.244891E+000;-1.552740E+002;-1.554004E+002;-2.592773E+000
34516000;6.121220E+000;3.079677E+000;-1.552740E+002;-1.553775E+002;-8.349609E-001
34529000;8.100256E+000;3.851237E+000;-1.552740E+002;-1.553315E+002;1.010742E+000
34542000;9.423719E+000;5.599546E+000;-1.552740E+002;-1.552963E+002;2.548828E+000
34556000;9.994310E+000;7.124872E+000;-1.552740E+002;-1.552573E+002;4.086914E+000
34569000;9.627831E+000;8.743967E+000;-1.552740E+002;-1.552193E+002;5.317383E+000
34583000;8.477150E+000;1.063704E+001;-1.552740E+002;-1.551945E+002;5.932617E+000
34596000;6.640392E+000;1.123826E+001;-1.552740E+002;-1.551745E+002;6.152344E+000
34610000;4.066603E+000;1.140018E+001;-1.552740E+002;-1.551712E+002;5.537109E+000
34624000;1.111527E+000;1.103678E+001;-1.552740E+002;-1.551771E+002;4.877930E+000
34638000;-1.947766E+000;1.039604E+001;-1.552740E+002;-1.551959E+002;3.339844E+000
34651000;-4.630952E+000;9.872012E+000;-1.552740E+002;-1.552221E+002;1.889648E+000
34664000;-7.095764E+000;9.012469E+000;-1.552740E+002;-1.552551E+002;8.789063E-002
34677000;-8.792814E+000;7.771833E+000;-1.552740E+002;-1.552870E+002;-1.713867E+000
34691000;-9.778240E+000;5.408947E+000;-1.552740E+002;-1.553311E+002;-3.208008E+000
34704000;-9.953549E+000;3.365707E+000;-1.552740E+002;-1.553880E+002;-4.526367E+000
34717000;-9.279669E+000;1.343879E+000;-1.552740E+002;-1.554238E+002;-5.317383E+000
34730000;-7.854761E+000;1.373597E-001;-1.552740E+002;-1.554392E+002;-5.756836E+000
34743000;-5.794148E+000;-3.202838E-001;-1.552740E+002;-1.554406E+002;-5.844727E+000
34757000;-3.056280E+000;-3.678826E-001;-1.552740E+002;-1.554440E+002;-5.361328E+000
34770000;-2.514070E-001;2.457120E-001;-1.552740E+002;-1.554310E+002;-4.570313E+000
34784000;2.815936E+000;1.179339E+000;-1.552740E+002;-1.553886E+002;-3.032227E+000
34798000;5.403972E+000;2.484596E+000;-1.552740E+002;-1.553649E+002;-1.362305E+000
34812000;7.696685E+000;3.467330E+000;-1.552740E+002;-1.553380E+002;5.273438E-001
34826000;9.267751E+000;5.277069E+000;-1.552740E+002;-1.552889E+002;2.329102E+000
