Timestamp;GimbalPitchPos;Gyro;GimbalYawPos;Gyro
61559000;0.000000E+000;1.886329E+000;-1.997991E+001;2.333313E-001
61572000;0.000000E+000;2.241256E+000;-1.124724E+001;2.180394E-001
61585000;0.000000E+000;2.493651E+000;1.119450E+001;-1.253521E-001
61599000;0.000000E+000;2.688660E+000;1.955490E+001;-5.110693E-001
61613000;0.000000E+000;2.215246E+000;3.409710E+000;-4.252990E-001
61626000;0.000000E+000;2.062778E+000;-1.605534E+001;7.533669E-002
61639000;0.000000E+000;2.045899E+000;-1.788210E+001;2.745957E-001
61653000;0.000000E+000;2.437718E+000;1.695261E+000;1.181890E-001
61667000;0.000000E+000;2.656184E+000;1.911955E+001;-4.006788E-001
61681000;0.000000E+000;2.459320E+000;1.258381E+001;-4.882503E-001
61694000;0.000000E+000;2.270089E+000;-8.205064E+000;-1.145441E-001
61708000;0.000000E+000;2.168417E+000;-1.997991E+001;2.286320E-001
61721000;0.000000E+000;2.463485E+000;-9.804964E+000;2.201127E-001
61734000;0.000000E+000;2.652218E+000;1.255904E+001;-1.123922E-001
61747000;0.000000E+000;2.883467E+000;1.984019E+001;-5.076801E-001
61759000;0.000000E+000;2.448391E+000;8.263120E+000;-4.203718E-001
61772000;0.000000E+000;2.306243E+000;-1.381016E+001;-3.867412E-002
61785000;0.000000E+000;2.288931E+000;-1.913815E+001;2.406186E-001
61798000;0.000000E+000;2.568376E+000;-3.441093E+000;1.760892E-001
61811000;0.000000E+000;2.790672E+000;1.429206E+001;-3.353614E-001
61825000;0.000000E+000;2.836248E+000;1.702933E+001;-5.299308E-001
61838000;0.000000E+000;2.420473E+000;-8.523957E-001;-4.093989E-001
61852000;0.000000E+000;2.279013E+000;-1.916571E+001;9.315103E-002
61866000;0.000000E+000;2.606699E+000;-1.165876E+001;2.038609E-001
61879000;0.000000E+000;2.807046E+000;1.012282E+001;-1.741999E-001
61891000;0.000000E+000;2.914480E+000;1.999546E+001;-4.569381E-001
61903000;0.000000E+000;2.682973E+000;9.378469E+000;-4.045873E-001
61917000;0.000000E+000;2.196090E+000;-1.363626E+001;-6.200922E-002
61930000;0.000000E+000;2.130580E+000;-1.892537E+001;2.273327E-001
61942000;0.000000E+000;2.468921E+000;-1.830156E+000;7.573509E-002
61955000;0.000000E+000;2.816094E+000;1.746086E+001;-3.056993E-001
61969000;0.000000E+000;2.671539E+000;1.491786E+001;-4.380303E-001
61981000;0.000000E+000;2.421971E+000;-4.355499E+000;-2.461886E-001
61994000;0.000000E+000;2.142499E+000;-1.959574E+001;2.396128E-001
62008000;0.000000E+000;2.496063E+000;-1.017771E+001;2.581523E-001
62022000;0.000000E+000;2.725826E+000;1.160694E+001;-4.683742E-002
62034000;0.000000E+000;2.826275E+000;1.987963E+001;-3.560142E-001
62048000;0.000000E+000;2.485101E+000;4.417654E+000;-3.019006E-001
62061000;0.000000E+000;2.295972E+000;-1.699584E+001;7.058543E-002
62074000;0.000000E+000;2.314003E+000;-1.656686E+001;3.121722E-001
62088000;0.000000E+000;2.664335E+000;5.244982E+000;9.523165E-002
62102000;0.000000E+000;2.887140E+000;1.995495E+001;-2.834513E-001
62116000;0.000000E+000;2.548428E+000;9.378469E+000;-3.393404E-001
62128000;0.000000E+000;2.383907E+000;-1.229056E+001;-2.320099E-002
62140000;0.000000E+000;2.355544E+000;-1.976819E+001;2.856408E-001
62154000;0.000000E+000;2.744600E+000;-5.306431E+000;2.462761E-001
62167000;0.000000E+000;2.947186E+000;1.547205E+001;-2.254566E-001
62180000;0.000000E+000;2.954795E+000;1.788924E+001;-3.972960E-001
62193000;0.000000E+000;2.501107E+000;-2.614166E+000;-2.420615E-001
62206000;0.000000E+000;2.374091E+000;-1.916571E+001;1.391576E-001
62218000;0.000000E+000;2.534395E+000;-1.433655E+001;2.794674E-001
62231000;0.000000E+000;2.779505E+000;6.929352E+000;-9.611338E-003
62245000;0.000000E+000;2.955567E+000;1.995495E+001;-3.470212E-001
62259000;0.000000E+000;2.734060E+000;7.781382E+000;-3.318708E-001
62272000;0.000000E+000;2.405082E+000;-1.487535E+001;2.326861E-002
62284000;0.000000E+000;2.420385E+000;-1.892537E+001;2.947852E-001
62298000;0.000000E+000;2.743097E+000;-6.370603E-002;1.215348E-001
62310000;0.000000E+000;2.977626E+000;1.746086E+001;-2.594212E-001
62324000;0.000000E+000;2.817558E+000;1.491786E+001;-3.775403E-001
62338000;0.000000E+000;2.635059E+000;-7.722655E+000;-4.307327E-002
62351000;0.000000E+000;2.384411E+000;-1.999400E+001;2.913698E-001
62365000;0.000000E+000;2.744676E+000;-6.989077E+000;2.812783E-001
62377000;0.000000E+000;2.892235E+000;1.300032E+001;-4.524517E-002
62390000;0.000000E+000;3.026480E+000;1.918382E+001;-3.758122E-001
62404000;0.000000E+000;2.568122E+000;9.160395E-001;-2.446672E-001
62418000;0.000000E+000;2.412001E+000;-1.858584E+001;1.352361E-001
62432000;0.000000E+000;2.766330E+000;-1.433655E+001;3.131050E-001
62446000;0.000000E+000;2.928730E+000;8.559546E+000;4.735458E-002
62459000;0.000000E+000;3.059653E+000;1.999546E+001;-3.844210E-001
62472000;0.000000E+000;2.703040E+000;7.781382E+000;-3.461763E-001
62485000;0.000000E+000;2.523282E+000;-1.487535E+001;-1.161367E-002
62499000;0.000000E+000;2.499548E+000;-1.749184E+001;3.039514E-001
62512000;0.000000E+000;2.951035E+000;-6.370603E-002;1.465876E-001
62525000;0.000000E+000;3.071027E+000;1.775261E+001;-2.397519E-001
62537000;0.000000E+000;2.898941E+000;1.523785E+001;-3.946152E-001
62549000;0.000000E+000;2.611717E+000;-4.480521E+000;-2.223932E-001
62563000;0.000000E+000;2.400439E+000;-1.995011E+001;2.547948E-001
62576000;0.000000E+000;2.702232E+000;-8.847726E+000;2.751336E-001
62590000;0.000000E+000;2.910584E+000;1.330929E+001;-2.770266E-002
62603000;0.000000E+000;3.101860E+000;1.885170E+001;-3.500150E-001
62616000;0.000000E+000;2.624915E+000;9.416497E-001;-2.129617E-001
62630000;0.000000E+000;2.369412E+000;-1.883033E+001;1.476807E-001
62643000;0.000000E+000;2.524274E+000;-1.335678E+001;2.631315E-001
62656000;0.000000E+000;2.899847E+000;8.790548E+000;-4.114032E-002
